County,2020-21 Full- and Part-Time Administrators,"2020-21 Administrators, Average Annual Salary, Dollars","2020-21 Administrators, Average Years Experience","2020-21 Female Administrators, Percent","2020-21 Minority Administrators, Percent",2020-21 Full- and Part-Time Support Personnel,"2020-21 Support Personnel, Average Annual Salary, Dollars",2020-21 Full- & Part-Time PK-12 Teachers,"2020-21 PK-12 Teachers, Average Annual Salary, Dollars","2020-21 PK-12 Teachers, Average Annual Salary, Rank","2020-21 PK-12 Teachers, Average Years Experience","2020-21 PK-12 Teachers with Less Than 1 Year Experience, Percent","2020-21 PK-12 Teachers with More Than 30 Years Experience, Percent","2020-21 PK-12 Teachers with Advanced Degrees, Percent","2020-21 Female PK-12 Teachers, Percent","2020-21 Minority PK-12 Teachers, Percent",2020-21 Students per PK-12 Teacher,2020-21 Public Schools,2019 Public School CCRPI Score
EVANS,18,82956,23,0.556,0.389,26,60205,126,49343,157,10,0,0.032,0.476,0.825,0.167,0,4,67.1
FANNIN,24,82985,24,0.625,0,133,67548,206,60715,32,16,0.044,0.049,0.709,0.801,0.015,0,5,71.7
FAYETTE,100,95584,24,0.66,0.3,150,75779,1480,66622,3,17,0.016,0.054,0.761,0.806,0.202,0,24,89.5
FLOYD,50,98522,25,0.58,0.02,100,67211,631,59974,40,16,0.04,0.046,0.702,0.751,0.029,0,17,81.6
FORSYTH,211,101197,22,0.649,0.047,374,68833,3161,62714,14,15,0.032,0.032,0.639,0.81,0.065,0,41,92.7
FRANKLIN,26,91778,23,0.615,0.038,60,63462,239,60938,28,17,0.025,0.063,0.728,0.766,0.042,0,5,72.4
FULTON,"1,316",101127,15,0.827,0.489,"1,659",72573,6238,62793,13,11,0.064,0.022,0.604,0.801,0.474,0,110,83.8
GILMER,25,99259,23,0.68,0,29,68978,268,61446,20,14,0.022,0.019,0.675,0.75,0.041,0,5,79.5
GLASCOCK,8,78887,22,0.625,0,3,62255,45,55153,121,16,0,0.067,0.578,0.844,0.022,0,2,71.9
GLYNN,77,92477,23,0.714,0.247,82,69434,956,59782,45,15,0.044,0.045,0.673,0.809,0.16,0,17,83.7
GORDON,42,94722,22,0.667,0,47,69475,440,59132,54,14,0.043,0.02,0.607,0.748,0.041,0,10,75.2
GRADY,35,87242,23,0.657,0.286,29,61647,316,55097,122,14,0.063,0.057,0.56,0.782,0.206,0,7,63.3
GREENE,24,108573,23,0.522,0.304,28,73734,219,57898,75,14,0.055,0.014,0.639,0.767,0.251,0,5,68.8
GWINNETT,927,97437,21,0.723,0.406,764,72280,11492,63344,11,13,0.056,0.033,0.666,0.803,0.341,0,139,82.5
HABERSHAM,43,81657,24,0.628,0,60,67628,516,59950,41,15,0.021,0.048,0.711,0.826,0.035,0,14,80.9
HALL,122,98467,23,0.598,0.057,211,70833,1816,61368,23,14,0.003,0.033,0.657,0.787,0.104,0,37,72.4
HANCOCK,10,94877,20,0.7,1,7,70687,54,55973,104,15,0.037,0.074,0.611,0.722,0.907,0.1,3,56
HARALSON,28,84365,23,0.643,0,65,68973,258,60011,39,16,0.016,0.035,0.647,0.756,0.031,0,7,76.1
HARRIS,29,99499,23,0.621,0.207,33,69901,339,61938,19,16,0.015,0.05,0.676,0.835,0.109,0,7,78.5
HART,22,92000,22,0.5,0.182,29,62769,230,58503,63,15,0,0.048,0.7,0.77,0.083,0,5,75.5
HEARD,15,104258,22,0.467,0.067,13,72098,147,59938,42,16,0.02,0.082,0.673,0.735,0.068,0,6,75.3
HENRY,289,97787,20,0.706,0.554,371,72430,2686,57832,76,13,0.062,0.027,0.626,0.799,0.477,0,50,77.3
